Gene,Annotation
TLR4,Overlap
TLR5,Overlap
TLR6,Overlap
TLR7,Overlap
TLR8,Overlap
TLR9,Overlap
TLR11,Overlap
TLR12,Overlap
TLR13,Overlap
TMEM106A,Overlap
TMEM173,Overlap
TNF,Overlap
TNFAIP3,Overlap
TNFAIP8L2,Overlap
TNFRSF1B,Overlap
TNFRSF11A,Overlap
TNFRSF14,Overlap
TNFSF4,Overlap
TNFSF8,Overlap
TNIP1,Overlap
TNIP2,Overlap
TNIP3,Overlap
TOLLIP,Overlap
TRAF3,Overlap
TRAF3IP2,Overlap
TRAFD1,Overlap
TRBC1,Overlap
TRBC2,Overlap
TRDC,Overlap
TRDV4,Overlap
TREM1,Overlap
TREM2,Overlap
TREM3,Overlap
TREML2,Overlap
TREML4,Overlap
TREX1,Overlap
TRIL,Overlap
TRIM6,Overlap
TRIM8,Overlap
TRIM10,Overlap
TRIM11,Overlap
TRIM12A,Overlap
TRIM13,Overlap
TRIM14,Overlap
TRIM15,Overlap
TRIM21,Overlap
TRIM25,Overlap
TRIM26,Overlap
TRIM27,Overlap
TRIM28,Overlap
TRIM29,Overlap
TRIM30A,Overlap
TRIM31,Overlap
TRIM32,Overlap
TRIM35,Overlap
TRIM56,Overlap
TRIM59,Overlap
TRIM62,Overlap
TRP53,Overlap
TSLP,Overlap
TSPAN6,Overlap
TTC4,Overlap
TTLL12,Overlap
TXK,Overlap
TYRO3,Overlap
UBD,Overlap
UBE2K,Overlap
UBQLN1,Overlap
UFD1,Overlap
ULBP1,Overlap
UNC13D,Overlap
UNC93B1,Overlap
USP14,Overlap
VAMP3,Overlap
VAMP4,Overlap
VAMP7,Overlap
VAMP8,Overlap
VAV1,Overlap
VIM,Overlap
VIP,Overlap
VNN1,Overlap
VPS26B,Overlap
VSIG4,Overlap
WAS,Overlap
WDFY1,Overlap
WNT5A,Overlap
WRNIP1,Overlap
XCL1,Overlap
XRCC5,Overlap
XRCC6,Overlap
YTHDF2,Overlap
YTHDF3,Overlap
ZBP1,Overlap
ZBTB1,Overlap
ZC3H12A,Overlap
ZC3HAV1,Overlap
ZCCHC3,Overlap
ZFP683,Overlap
ZFP809,Overlap
ZYX,Overlap
ABL1,ImmuneRE
ATG5,ImmuneRE
BMP6,ImmuneRE
CCL27B,ImmuneRE
CCL28,ImmuneRE
CD79B,ImmuneRE
CD80,ImmuneRE
CD274,ImmuneRE
CST9,ImmuneRE
CXCL14,ImmuneRE
FER,ImmuneRE
FZD5,ImmuneRE
GBF1,ImmuneRE
GPR31B,ImmuneRE
IFI44,ImmuneRE
IGKV2-137,ImmuneRE
IGKV6-14,ImmuneRE
KLHL6,ImmuneRE
MAPK1,ImmuneRE
MIR181B-2,ImmuneRE
MLH1,ImmuneRE
MS4A1,ImmuneRE
NTS,ImmuneRE
PDCD1LG2,ImmuneRE
PDE4B,ImmuneRE
PLCG2,ImmuneRE
PPP2R3C,ImmuneRE
RAB29,ImmuneRE
RARA,ImmuneRE
REG1,ImmuneRE
REG2,ImmuneRE
REG3D,ImmuneRE
SMAD6,ImmuneRE
SPAG11B,ImmuneRE
TRAF6,ImmuneRE
VTCN1,ImmuneRE
XBP1,ImmuneRE
2610528A11RIK,DefenseRE
9530003J23RIK,DefenseRE
ABCC9,DefenseRE
ABCD2,DefenseRE
ABCF3,DefenseRE
ACE,DefenseRE
ACP5,DefenseRE
ADAMTS4,DefenseRE
